Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
HIMANSHU SIRSAT,1989,expert,https://www.kaggle.com/himanshusirsat,0,1,7,51,a year ago,"Indore, Madhya Pradesh, India",4.0,4.0,18,44,1208.0,2033.0,Notebooks Expert
Mainak Chaudhuri,1990,expert,https://www.kaggle.com/brijlaldhankour,0,0,10,51,a year ago,"Kolkata, West Bengal, India",1.0,3.0,11,21,1271.0,2006.0,Datasets Expert
Sajjad Najafi,1991,expert,https://www.kaggle.com/sajjadnajafi,0,0,14,51,a year ago,"Tehran, Tehran Province, Iran",,,17,31,764.0,2034.0,Notebooks Expert
PriyankDL,1992,expert,https://www.kaggle.com/priyankdl,0,1,4,51,10 months ago,,,1.0,5,2,1247.0,2037.0,Notebooks Expert
Andriy_uru,1993,expert,https://www.kaggle.com/andriyuru,0,0,8,51,10 months ago,,3.0,,11,221,1869.0,2007.0,Notebooks Expert
Akshay Pawar,1994,expert,https://www.kaggle.com/akshaypawar7,0,2,3,51,9 months ago,"Pune, Maharashtra, India",2.0,4.0,5,7,1336.0,2039.0,Datasets Expert
Bhavya Bhola,1995,expert,https://www.kaggle.com/bhavyabhola,0,0,7,51,2 months ago,"Sri City, Andhra Pradesh, India",6.0,,7,11,,1755.0,Notebooks Expert
Chris Ried,1996,expert,https://www.kaggle.com/digitalbro,0,1,4,50,11 years ago,"Nashville, Tennessee, United States",17.0,1.0,8,18,1779.0,2008.0,Notebooks Expert
Adarsh C,1997,expert,https://www.kaggle.com/chekoduadarsh,0,3,7,50,5 years ago,"Bengaluru, Karnataka, India",14.0,1.0,18,244,312.0,2011.0,Notebooks Expert
Ioannis M,1998,expert,https://www.kaggle.com/imeintanis,0,3,9,50,4 years ago,"Athens, Greece",45.0,41.0,16,488,575.0,2013.0,Competitions Master
Mojtaba,1999,expert,https://www.kaggle.com/mojtaba142,0,4,1,50,4 years ago,"Shiraz, Fars Province, Iran",,2.0,5,60,1002.0,2015.0,Notebooks Expert
Mohamed Abdullah,2000,expert,https://www.kaggle.com/mohamedabdullah,0,2,7,50,3 years ago,"Cairo, Cairo Governorate, Egypt",1.0,1.0,9,217,762.0,2056.0,Notebooks Expert
Ahmed Raza Khanzada,2001,expert,https://www.kaggle.com/arkhanzada,0,0,7,50,3 years ago,"Karachi, Sindh, Pakistan",,,8,40,1699.0,1990.0,Notebooks Expert
Ankur Singh,2002,expert,https://www.kaggle.com/cosmosankur,0,1,11,50,3 years ago,"Faridabad, Haryana, India",1.0,8.0,66,47,590.0,2019.0,Notebooks Expert
Chandler Bing,2003,expert,https://www.kaggle.com/rushinaik,0,0,12,50,3 years ago,"Navi Mumbai, Maharashtra, India",1.0,,24,101,650.0,2021.0,Notebooks Expert
mukaseevru,2004,expert,https://www.kaggle.com/mukaseevru,0,1,4,50,3 years ago,"Moscow, Russia",15.0,2.0,14,10,1973.0,2023.0,Notebooks Expert
Abhishek Prajapat,2005,expert,https://www.kaggle.com/abhishekprajapat,0,3,7,50,3 years ago,"Rajsamand, Rajasthan, India",3.0,8.0,13,146,386.0,2024.0,Notebooks Expert
Abdelrahman Khalil,2006,expert,https://www.kaggle.com/abdelrahmankhalil,0,0,6,50,2 years ago,,1.0,1.0,15,50,1389.0,2063.0,Notebooks Expert
Heeral Dedhia,2007,expert,https://www.kaggle.com/heeraldedhia,0,4,7,50,2 years ago,"Mumbai, Maharashtra, India",1.0,7.0,15,255,471.0,2027.0,Datasets Expert
Victoria Maslova,2008,expert,https://www.kaggle.com/victoriamiller19,0,2,5,50,2 years ago,"Moscow, Russia",,6.0,6,78,818.0,2028.0,Notebooks Expert
Artem Prikhodko,2009,expert,https://www.kaggle.com/aipi12,0,2,7,50,2 years ago,"Saint Petersburg, Russia",2.0,1.0,9,25,669.0,2029.0,Notebooks Expert
Azize Sultan Palalı,2010,expert,https://www.kaggle.com/azizesultanbilge,0,0,7,50,2 years ago,"İstanbul, İstanbul, Turkey",,,6,68,894.0,2067.0,Notebooks Expert
Raj Gupta,2011,expert,https://www.kaggle.com/rajgupta2019,0,0,8,50,2 years ago,"Vadodara, Gujarat, India",,6.0,13,63,1543.0,2030.0,Datasets Expert
Ahmet Çalış,2012,expert,https://www.kaggle.com/ahmetcalis,0,2,4,50,2 years ago,"Akhisar, Manisa, Turkey",,,7,381,,1198.0,Notebooks Expert
micheldc55,2013,expert,https://www.kaggle.com/micheldc55,0,0,5,50,2 years ago,"Montevideo, Montevideo Department, Uruguay",2.0,1.0,8,33,1960.0,2002.0,Notebooks Expert
Yazan Majzoub,2014,expert,https://www.kaggle.com/yazanmajzob,0,0,8,50,a year ago,,8.0,,15,39,1129.0,2072.0,Notebooks Expert
